Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Pieaugušo neformālās izglītības studija ""Stils - M""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""MILLA""";"Nē";"Nē";"3380801053";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Universālie Mākslinieki""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"IK ""Universālie Mākslinieki""";"Nē";"Nē";"1780801063";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības mācību centrs INTENCE";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Psiholoģisko konsultāciju centrs ""Intence""";"Nē";"Nē";"2780801066";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Neformālās izglītības iestāde ""NIANSE""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""LATVIJAS LATINO DEJU FEDERĀCIJA""";"Nē";"Nē";"3380801083";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo izglītības iestāde ""DZM""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""IC DZM""";"Nē";"Nē";"3380802040";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības iestāde BARRISTER";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""BARRISTER""";"Nē";"Nē";"4380802056";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""NARCONON LATVIJA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""NARCONON LATVIJA""";"Nē";"Nē";"3380802000";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""First Baltic Hubbard College of Administration""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""First Baltic Hubbard College of Administration""";"Nē";"Nē";"3380802007";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""LATVIJAS DIANĒTIKAS CENTRS""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Latvijas Dianētikas centrs";"Nē";"Nē";"3380802062";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs ""IRB Training""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Investīciju Risinājumu Birojs""";"Nē";"Nē";"3380802016";"Juridiska vai fiziska persona";"RĪGA"
