Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Rīgas pirmsskolas izglītības iestāde ""Rotaļa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3601902847";"Pašvaldība ";"-Nav norādīts-"
"Ogres pirmsskolas izglītības iestāde ""Riekstiņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Ogres novada pašvaldība";"Nē";"Nē";"1701902821";"Pašvaldība ";"OGRE"
"Privātā pirmsskolas izglītības iestāde ""Laimes lācis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""NAKONA""";"Nē";"Nē";"3701802845";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskola ""CreaKids""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA CreaKids";"Nē";"Nē";"3701802859";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Siguldas novada Siguldas pilsētas pirmsskolas izglītības iestāde ""Ieviņa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Siguldas novada pašvaldība";"Nē";"Nē";"4301902832";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas valstspilsētas pašvaldības pirmsskolas izglītības iestāde ""Ķipari""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Jelgavas valstspilsētas pašvaldība";"Nē";"Nē";"2801902853";"Pašvaldība ";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Mikausis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Parakletos""";"Nē";"Nē";"1701802837";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Skola mazajiem Poga""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Skola mazajiem Poga""";"Nē";"Nē";"3701802856";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Ozolnieku pirmsskolas izglītības iestāde ""Pūcīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Jelgavas novada pašvaldība";"Nē";"Nē";"4501902901";"Pašvaldība ";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Saulespuķe""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Bērnu attīstības centrs SAULESPUĶE""";"Nē";"Nē";"4301802855";"Juridiska vai fiziska persona";"MĀRUPES NOVADS"
"Privātā pirmsskolas izglītības iestāde ""Montesori bērnu māja ""Darbīgās rociņas""""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Darbīgās rociņas""";"Nē";"Nē";"3601802858";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Jūrmalas Montesori skola""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Jūrmalas privātā skola""";"Nē";"Nē";"2901802874";"Juridiska vai fiziska persona";"JŪRMALA"
"Valmieras pirmsskolas izglītības iestāde ""Buratino""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Valmieras novada pašvaldība";"Nē";"Nē";"2501901922";"Pašvaldība ";"-Nav norādīts-"
