Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Rīgas 33. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900836";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Ostvalda vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900775";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 96. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900776";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Valdorfskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3512900779";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Itas Kozakēvičas Poļu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900789";"Pašvaldība ";"-Nav norādīts-"
"Neretas Jāņa Jaunsudrabiņa vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Aizkraukles novada pašvaldība";"Nē";"Jā";"4513900971";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Valsts 1. ģimnāzija";"Vispārējās izglītības iestāde";"Valsts ģimnāzija";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3419900793";"Pašvaldība ";"RĪGA"
"Rīgas 13. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3913900817";"Pašvaldība ";"RĪGA"
"Friča Brīvzemnieka pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3812900716";"Pašvaldība ";"RĪGA"
"Rīgas Zolitūdes ģimnāzija";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3813900724";"Pašvaldība ";"RĪGA"
"Ventspils 6. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ventspils valstspilsētas pašvaldība";"Nē";"Jā";"3213900037";"Pašvaldība ";"-Nav norādīts-"
"Užavas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Ventspils novada pašvaldība";"Nē";"Jā";"4112900047";"Pašvaldība ";"VENTSPILS NOVADS"
"Alojas Ausekļa vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4413900157";"Pašvaldība ";"-Nav norādīts-"
"Lādezera pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4412900167";"Pašvaldība ";"LIMBAŽU NOVADS"
"Umurgas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4412900175";"Pašvaldība ";"-Nav norādīts-"
"Salacgrīvas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4413900159";"Pašvaldība ";"-Nav norādīts-"
"Vidrižu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4412900176";"Pašvaldība ";"-Nav norādīts-"
"Ugāles vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ventspils novada pašvaldība";"Nē";"Jā";"4113900055";"Pašvaldība ";"-Nav norādīts-"
"Kusas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900120";"Pašvaldība ";"MADONAS NOVADS"
"Dzelzavas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900123";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas valstspilsētas pašvaldības izglītības iestāde ""Jelgavas Valsts ģimnāzija""";"Vispārējās izglītības iestāde";"Valsts ģimnāzija";"Jelgavas valstspilsētas pašvaldība";"Nē";"Jā";"2819902423";"Pašvaldība ";"-Nav norādīts-"
"Viļānu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rēzeknes novada pašvaldība";"Nē";"Jā";"4213900184";"Pašvaldība ";"VIĻĀNU NOVADS"
"Liezēres pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900117";"Pašvaldība ";"MADONAS NOVADS"
"Bērzaunes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900125";"Pašvaldība ";"MADONAS NOVADS"
"Ērgļu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Madonas novada pašvaldība";"Nē";"Jā";"4413900131";"Pašvaldība ";"-Nav norādīts-"
"Degumnieku pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900124";"Pašvaldība ";"MADONAS NOVADS"
"Barkavas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900126";"Pašvaldība ";"MADONAS NOVADS"
"Lubānas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Madonas novada pašvaldība";"Nē";"Jā";"4413900130";"Pašvaldība ";"LUBĀNAS NOVADS"
"Pāles pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4412900171";"Pašvaldība ";"LIMBAŽU NOVADS"
"Gaiķu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Saldus novada pašvaldība";"Nē";"Jā";"4112900078";"Pašvaldība ";"-Nav norādīts-"
"Dignājas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4512900270";"Pašvaldība ";"JĒKABPILS NOVADS"
"Kalsnavas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4412900122";"Pašvaldība ";"MADONAS NOVADS"
"Jelgavas valstspilsētas pašvaldības izglītības iestāde ""Jelgavas 4. vidusskola""";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jelgavas valstspilsētas pašvaldība";"Nē";"Jā";"2813900137";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas valstspilsētas pašvaldības izglītības iestāde ""Jelgavas 5. vidusskola""";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jelgavas valstspilsētas pašvaldība";"Nē";"Jā";"2813900138";"Pašvaldība ";"-Nav norādīts-"
"Cesvaines vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Madonas novada pašvaldība";"Nē";"Jā";"4413900133";"Pašvaldība ";"CESVAINES NOVADS"
"Jēkabpils 2. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"1013900258";"Pašvaldība ";"-Nav norādīts-"
"Madlienas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ogres novada pašvaldība";"Nē";"Jā";"4413900188";"Pašvaldība ";"-Nav norādīts-"
"Ogresgala pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Ogres novada pašvaldība";"Nē";"Jā";"4412900194";"Pašvaldība ";"-Nav norādīts-"
"Lielvārdes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Ogres novada pašvaldība";"Nē";"Jā";"4412900195";"Pašvaldība ";"-Nav norādīts-"
"Ķeguma vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ogres novada pašvaldība";"Nē";"Jā";"4413900201";"Pašvaldība ";"-Nav norādīts-"
"Salas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4513900261";"Pašvaldība ";"SALAS NOVADS"
"Viesītes vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4513900262";"Pašvaldība ";"-Nav norādīts-"
"Kandavas Kārļa Mīlenbaha vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4113900205";"Pašvaldība ";"-Nav norādīts-"
"Lapmežciema pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4112900208";"Pašvaldība ";"-Nav norādīts-"
"Tukuma 2. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4113900224";"Pašvaldība ";"-Nav norādīts-"
"Zasas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4513900263";"Pašvaldība ";"-Nav norādīts-"
"Ābeļu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4512900267";"Pašvaldība ";"-Nav norādīts-"
"Ķeipenes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Ogres novada pašvaldība";"Nē";"Jā";"4412900196";"Pašvaldība ";"OGRES NOVADS"
"Krustpils pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"1012900275";"Pašvaldība ";"KRUSTPILS NOVADS"
"Milzkalnes sākumskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā sākumskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4111900252";"Pašvaldība ";"-Nav norādīts-"
"Pūres pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4112900227";"Pašvaldība ";"-Nav norādīts-"
"Smārdes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4112900209";"Pašvaldība ";"-Nav norādīts-"
"Jaunpils vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4113900207";"Pašvaldība ";"JAUNPILS NOVADS"
"Jēkabpils Valsts ģimnāzija";"Vispārējās izglītības iestāde";"Valsts ģimnāzija";"Jēkabpils novada pašvaldība";"Nē";"Jā";"1019900257";"Pašvaldība ";"-Nav norādīts-"
"Preiļu 1. pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Preiļu novada pašvaldība";"Nē";"Jā";"4212900356";"Pašvaldība ";"PREIĻI"
"Aknīstes vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4513900255";"Pašvaldība ";"AKNĪSTES NOVADS"
"Zemgales vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4113900250";"Pašvaldība ";"TUKUMA NOVADS"
"Zantes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4112900246";"Pašvaldība ";"KANDAVAS NOVADS"
"Cēsu 1. pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Cēsu novada pašvaldība";"Nē";"Jā";"4412900314";"Pašvaldība ";"-Nav norādīts-"
"Mores pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Siguldas novada pašvaldība";"Nē";"Jā";"4312900327";"Pašvaldība ";"SIGULDAS NOVADS"
