Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Priekules Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4174902159";"Pašvaldība ";"-Nav norādīts-"
"Nīcas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4176902224";"Pašvaldība ";"-Nav norādīts-"
"Salacgrīvas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Limbažu novada pašvaldība";"Nē";"Jā";"4476902326";"Pašvaldība ";"-Nav norādīts-"
"Cesvaines Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Madonas novada pašvaldība";"Nē";"Jā";"4474902095";"Pašvaldība ";"-Nav norādīts-"
"Aglonas bazilikas Kora skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"AGLONAS BAZILIKAS DRAUDZE";"Nē";"Jā";"4276902470";"Juridiska vai fiziska persona";"AGLONAS NOVADS"
"Maltas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Rēzeknes novada pašvaldība";"Nē";"Jā";"4276902321";"Pašvaldība ";"-Nav norādīts-"
"Varakļānu Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Varakļānu novada pašvaldība";"Nē";"Jā";"4474902324";"Pašvaldība ";"VARAKĻĀNU NOVADS"
"Ērgļu Mākslas un mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Madonas novada pašvaldība";"Nē";"Jā";"4474902160";"Pašvaldība ";"ĒRGĻU NOVADS"
"Birzgales Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Ogres novada pašvaldība";"Nē";"Jā";"4476902081";"Pašvaldība ";"-Nav norādīts-"
"Viļānu Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Rēzeknes novada pašvaldība";"Nē";"Jā";"4274902272";"Pašvaldība ";"-Nav norādīts-"
"Bolderājas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3374902145";"Pašvaldība ";"-Nav norādīts-"
"Ķekavas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Ķekavas novada pašvaldība";"Nē";"Jā";"4376902247";"Pašvaldība ";"ĶEKAVAS NOVADS"
"Krimuldas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Siguldas novada pašvaldība";"Nē";"Jā";"4374902310";"Pašvaldība ";"-Nav norādīts-"
"Baldones Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Ķekavas novada pašvaldība";"Nē";"Jā";"4375902083";"Pašvaldība ";"-Nav norādīts-"
"Saldus Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Saldus novada pašvaldība";"Nē";"Jā";"4176902164";"Pašvaldība ";"SALDUS"
"Rūjienas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Valmieras novada pašvaldība";"Nē";"Jā";"4476902288";"Pašvaldība ";"-Nav norādīts-"
"Ventspils novada Piltenes mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Ventspils novada pašvaldība";"Nē";"Jā";"4176902161";"Pašvaldība ";"-Nav norādīts-"
"Jāņa Norviļa Madonas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Madonas novada pašvaldība";"Nē";"Jā";"4476902172";"Pašvaldība ";"-Nav norādīts-"
"Pāvula Jurjāna mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3376902109";"Pašvaldība ";"RĪGA"
"Pārdaugavas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3374902150";"Pašvaldība ";"RĪGA"
"Ādažu novada Mākslu skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Ādažu novada pašvaldība";"Nē";"Jā";"4374902096";"Pašvaldība ";"ĀDAŽU NOVADS"
"Ropažu Mūzikas un mākslas skola ""Rodenpois""";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Ropažu novada pašvaldība";"Nē";"Jā";"4374902116";"Pašvaldība ";"-Nav norādīts-"
"Vidzemes jūrmalas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Saulkrastu novada pašvaldība";"Nē";"Jā";"4474902259";"Pašvaldība ";"-Nav norādīts-"
"Sabiles Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Talsu novada pašvaldība";"Nē";"Jā";"4171902117";"Pašvaldība ";"TALSU NOVADS"
"Mazsalacas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Valmieras novada pašvaldība";"Nē";"Jā";"4474902330";"Pašvaldība ";"MAZSALACAS NOVADS"
"Skrīveru Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Aizkraukles novada pašvaldība";"Nē";"Jā";"4574902252";"Pašvaldība ";"-Nav norādīts-"
"Ventspils novada Ugāles Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Ventspils novada pašvaldība";"Nē";"Jā";"4174902097";"Pašvaldība ";"-Nav norādīts-"
"Gulbenes Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Gulbenes novada pašvaldība";"Nē";"Jā";"4476902261";"Pašvaldība ";"-Nav norādīts-"
"Ernesta Vīgnera Kuldīgas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Kuldīgas novada pašvaldība";"Nē";"Jā";"4176902084";"Pašvaldība ";"KULDĪGA"
"Kuldīgas novada Sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Kuldīgas novada pašvaldība";"Nē";"Jā";"4171902078";"Pašvaldība ";"KULDĪGA"
"Ventspils Sporta skola ""Spars""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Ventspils valstspilsētas pašvaldība";"Nē";"Jā";"3271902181";"Pašvaldība ";"-Nav norādīts-"
"Aizputes Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4175902176";"Pašvaldība ";"AIZPUTES NOVADS"
"Limbažu novada Sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Limbažu novada pašvaldība";"Nē";"Jā";"4471902197";"Pašvaldība ";"-Nav norādīts-"
"J.Soikāna Ludzas mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Ludzas novada pašvaldība";"Nē";"Jā";"4275902094";"Pašvaldība ";"-Nav norādīts-"
"Zilupes Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Ludzas novada pašvaldība";"Nē";"Jā";"4274902313";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas valstspilsētas pašvaldības profesionālās ievirzes un interešu izglītības iestāde ""Jelgavas Mākslas skola""";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Jelgavas valstspilsētas pašvaldība";"Nē";"Jā";"2875902360";"Pašvaldība ";"JELGAVA"
