Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Bērnu attīstības studija ""IGMALIN""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""IGMALIN""";"Nē";"Nē";"3351802688";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Bērnu un jauniešu interešu attīstības centrs ""Mazās Mākslas studija""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu attīstības centrs ""Mazās Mākslas studija""";"Nē";"Nē";"4351802721";"Juridiska vai fiziska persona";"ĶEKAVAS NOVADS"
"Bērnu un jauniešu interešu izglītības iestāde ""Tematika""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""Tematika""";"Nē";"Nē";"3351802701";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu radošās attīstības centrs ""Mazulis Ru""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Bona L""";"Nē";"Nē";"3351802649";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Biedrības ""EMUNA"" Ebreju bērnu pirmsskolas interešu centrs ""Tal Center""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""EMUNA""";"Nē";"Nē";"3351802546";"Juridiska vai fiziska persona";"RĪGA"
"Madonas Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Madonas novada pašvaldība";"Nē";"Nē";"4451900102";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas valstspilsētas pašvaldības interešu izglītības iestāde ""Jaunrades nams ""Junda""""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Jelgavas valstspilsētas pašvaldība";"Nē";"Nē";"2851900149";"Pašvaldība ";"-Nav norādīts-"
"Cēsu Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Cēsu novada pašvaldība";"Nē";"Nē";"4451900350";"Pašvaldība ";"-Nav norādīts-"
"Ventspils Jaunrades nams";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Ventspils valstspilsētas pašvaldība";"Nē";"Nē";"3251900039";"Pašvaldība ";"VENTSPILS"
"Krāslavas Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Krāslavas novada pašvaldība";"Nē";"Nē";"4251900581";"Pašvaldība ";"-Nav norādīts-"
"Bērnu un jauniešu centrs ""Rīgas Skolēnu pils""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351902467";"Pašvaldība ";"-Nav norādīts-"
"Bērnu un jauniešu centrs ""Daugmale""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351901642";"Pašvaldība ";"-Nav norādīts-"
"Saldus Bērnu un jaunatnes centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Saldus novada pašvaldība";"Nē";"Nē";"4151901912";"Pašvaldība ";"SALDUS"
"Bērnu un jauniešu interešu izglītības centrs ""ANCE""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Birojs Pilsēta""";"Nē";"Nē";"3051802796";"Juridiska vai fiziska persona";"LIEPĀJA"
"Bērnu interešu izglītības un atpūtas centrs ""GUSTIŅŠ""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""LUETA""";"Nē";"Nē";"3351802889";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jauniešu interešu izglītības centrs ""PŪCE""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Biedrība ""PEDAGOGU DARBNĪCA ""PŪCE""""";"Nē";"Nē";"3351802873";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Bērnu un jauniešu interešu izglītības iestāde ""Saules stariņi""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Saules stariņi""";"Nē";"Nē";"2751802898";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Bērnu un jauniešu interešu izglītības centrs ""Mājasdarbu pildīšanas skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Latvijas Skolotāju korporācija""";"Nē";"Nē";"4351802888";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Rīgas 1. valodu skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""RĪGAS 1. VALODU SKOLA""";"Nē";"Nē";"3351800827";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Bērnu un jauniešu interešu izglītības centrs ""PERSPEKTĪVA""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""RĪTAUSMA-V""";"Nē";"Nē";"3351802906";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Kiddyenglish""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Kiddyenglish""";"Nē";"Nē";"3351802987";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Rutas skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Remilia""";"Nē";"Nē";"3351802910";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Bērnu un jauniešu interešu izglītības centrs ""Citrus skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Reāls""";"Nē";"Nē";"1051802946";"Juridiska vai fiziska persona";"JĒKABPILS"
"Balvu Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Balvu novada pašvaldība";"Nē";"Nē";"4251902861";"Pašvaldība ";"BALVI"
