Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Profesionālās tālākizglītības centrs ""KLĒRS STUDIJA""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""KLĒRS SERVISS""";"Nē";"Jā";"3361802540";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""ASV Studija""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""ASV Studija""";"Nē";"Jā";"2761802543";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Pirts skola""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Pirts skola""";"Nē";"Jā";"4561802544";"Juridiska vai fiziska persona";"JELGAVAS NOVADS"
"Rīgas Starptautiskais mācību centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""ELLADA L""";"Nē";"Jā";"3361802399";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Latvijas Samariešu apvienība""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"""Latvijas Samariešu apvienība""";"Nē";"Jā";"3361802547";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Sabiedrība ar ierobežotu atbildību ""Inovatīvo Tehnoloģiju Aģentūra""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Normunds Laizāns";"Nē";"Jā";"3361802416";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Imidža skola-studija ""Unastyle""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Unastyle Studio""";"Nē";"Jā";"3361802428";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Valodu un IT mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""SMART TRAINING""";"Nē";"Jā";"3361802383";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Mācību centrs MAGNUM""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA AMSID Latvija";"Nē";"Jā";"2961802385";"Juridiska vai fiziska persona";"JŪRMALA"
"Profesionālās tālākizglītības centrs ""Mācību studija ""Curly""""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Mācību studija ""Curly""""";"Nē";"Jā";"3361802391";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Japāņu valodas un kultūras studija""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Japāņu valodas un kultūras studija ""GENGO"" SIA";"Nē";"Jā";"3361802560";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs miniAkselerators";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA miniAkselerators";"Nē";"Nē";"3361802568";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Secure mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Secure Solutions Latvia""";"Nē";"Jā";"3361802364";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Datorzinību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Datorzinību centrs""";"Nē";"Nē";"3361802365";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Apmācība""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"OU Koolitusveeb filiāle Latvijā";"Nē";"Nē";"3361802367";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Zinātnes un inovāciju parks""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Nodibinājums ""Zinātnes un inovāciju parks""";"Nē";"Nē";"3061802577";"Juridiska vai fiziska persona";"LIEPĀJA"
"""Psiholoģijas profesionālās tālākizglītības centrs LĪNA""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Ģimenes psiholoģijas centrs LĪNA""";"Nē";"Jā";"3361802406";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""ZEVS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""ZEVS Security Consulting""";"Nē";"Nē";"3361802373";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""IDEJA""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Izglītības un atpūtas biedrība ""OZOLAINE""";"Nē";"Jā";"4261802437";"Juridiska vai fiziska persona";"RĒZEKNES NOVADS"
